Bundesland;Anzahl;Differenz;Faelle;Todesfaelle;Stand
Baden-Württemberg;282.920;1.527;10.161;6.585;23.1.2021
Bayern;387.863;2.079;14.277;9.583;23.1.2021
Berlin;116.119;613;3.851;2.021;23.1.2021
Brandenburg;62.813;816;4.564;1.896;23.1.2021
Bremen;15.326;78;540;250;23.1.2021
Hamburg;44.249;330;1.464;976;23.1.2021
Hessen;164.944;1.091;7.259;4.362;23.1.2021
Mecklenburg-Vorpommern;18.108;282;1.703;355;23.1.2021
Niedersachsen;134.927;1.510;7.111;2.945;23.1.2021
Nordrhein-Westfalen;467.471;3.332;19.028;9.895;23.1.2021
Rheinland-Pfalz;88.612;757;4.141;2.263;23.1.2021
Saarland;24.068;195;1.069;681;23.1.2021
Sachsen;173.272;1.394;6.879;5.670;23.1.2021
Sachsen-Anhalt;47.452;1.315;4.480;1.397;23.1.2021
Schleswig-Holstein;33.245;425;2.675;741;23.1.2021
Thüringen;61.290;673;4.470;1.901;23.1.2021
Gesamt;2.122.679;16.417;93.672;51.521;23.1.2021
