Bundesland;Anzahl;Differenz;Faelle;Todesfaelle;Stand
Baden-Württemberg;35.090;+33;153;1.805;13.6.2020
Bayern;47.612;+38;273;2.540;13.6.2020
Berlin;7.252;+87;254;208;13.6.2020
Brandenburg;3.326;+20;29;163;13.6.2020
Bremen;1.581;+8;68;45;13.6.2020
Hamburg;5.139;+5;22;255;13.6.2020
Hessen;10.321;+8;131;491;13.6.2020
Mecklenburg-Vorpommern;781;+1;14;20;13.6.2020
Niedersachsen;12.822;+45;339;613;13.6.2020
Nordrhein-Westfalen;39.137;+77;599;1.643;13.6.2020
Rheinland-Pfalz;6.838;+11;56;231;13.6.2020
Saarland;2.770;+1;27;168;13.6.2020
Sachsen;5.345;+1;21;219;13.6.2020
Sachsen-Anhalt;1.734;+2;15;56;13.6.2020
Schleswig-Holstein;3.120;0;13;150;13.6.2020
Thüringen;3.154;+11;69;174;13.6.2020
Gesamt;186.022;+348;2.083;8.781;13.6.2020
