Bundesland;Anzahl;Differenz;Faelle;Todesfaelle;Stand
Baden-Württemberg;48.467;+332;1.407;1.877;26.9.2020
Bayern;67.005;+448;2.257;2.657;26.9.2020
Berlin;13.970;+159;914;228;26.9.2020
Brandenburg;4.203;+25;104;169;26.9.2020
Bremen;2.320;+40;132;59;26.9.2020
Hamburg;7.550;+119;362;269;26.9.2020
Hessen;18.396;+175;847;549;26.9.2020
Mecklenburg-Vorpommern;1.151;+7;46;20;26.9.2020
Niedersachsen;19.748;+305;864;683;26.9.2020
Nordrhein-Westfalen;67.903;+625;2.991;1.863;26.9.2020
Rheinland-Pfalz;10.439;+58;349;251;26.9.2020
Saarland;3.288;+18;59;176;26.9.2020
Sachsen;7.052;+110;339;233;26.9.2020
Sachsen-Anhalt;2.536;+11;90;67;26.9.2020
Schleswig-Holstein;4.656;+53;257;161;26.9.2020
Thüringen;4.046;+22;113;190;26.9.2020
Gesamt;282.730;+2.507;11.131;9.452;26.9.2020
