Bundesland;Anzahl;Differenz;Faelle;Todesfaelle;Stand
Baden-Württemberg;51.579;+388;1.956;1.894;7.10.2020
Bayern;70.381;+375;2.131;2.680;7.10.2020
Berlin;16.237;+288;1.590;231;7.10.2020
Brandenburg;4.483;+36;186;169;7.10.2020
Bremen;2.702;+70;270;59;7.10.2020
Hamburg;8.451;+112;507;274;7.10.2020
Hessen;20.355;+242;1.383;556;7.10.2020
Mecklenburg-Vorpommern;1.304;+11;103;20;7.10.2020
Niedersachsen;21.456;+172;1.148;691;7.10.2020
Nordrhein-Westfalen;74.615;+773;4.550;1.891;7.10.2020
Rheinland-Pfalz;11.308;+93;574;256;7.10.2020
Saarland;3.489;+40;164;177;7.10.2020
Sachsen;7.679;+146;382;243;7.10.2020
Sachsen-Anhalt;2.774;+10;124;68;7.10.2020
Schleswig-Holstein;5.032;+54;247;162;7.10.2020
Thüringen;4.241;+18;158;191;7.10.2020
Gesamt;306.086;+2.828;15.473;9.562;7.10.2020
