Bundesland;Anzahl;Differenz;Faelle;Todesfaelle;Stand
Baden-Württemberg;43.423;+164;1.438;1.865;6.9.2020
Bayern;59.014;+322;1719;2.642;6.9.2020
Berlin;11.703;+80;493;226;6.9.2020
Brandenburg;3.927;+4;49;169;6.9.2020
Bremen;2.067;+11;78;58;6.9.2020
Hamburg;6.486;+35;204;267;6.9.2020
Hessen;16.098;+120;658;535;6.9.2020
Mecklenburg-Vorpommern;1.023;0;16;20;6.9.2020
Niedersachsen;17.236;+26;461;665;6.9.2020
Nordrhein-Westfalen;60.257;+172;1.569;1.823;6.9.2020
Rheinland-Pfalz;9.324;+19;254;243;6.9.2020
Saarland;3.197;+8;45;174;6.9.2020
Sachsen;6.147;+9;179;225;6.9.2020
Sachsen-Anhalt;2.281;+7;41;66;6.9.2020
Schleswig-Holstein;4.120;+5;96;161;6.9.2020
Thüringen;3.682;+6;52;186;6.9.2020
Gesamt;249.985;+988;7.352;9.325;6.9.2020
