Bundesland;Anzahl;Differenz;Faelle;Todesfaelle;Stand
Baden-Württemberg;68.482;+1.644;8.352;1.970;25.10.2020
Bayern;89.986;+1.667;10.446;2.742;25.10.2020
Berlin;25.790;+416;4.389;249;25.10.2020
Brandenburg;6.463;+154;887;184;25.10.2020
Bremen;4.342;+190;783;64;25.10.2020
Hamburg;11.346;+303;1.312;283;25.10.2020
Hessen;32.227;+1.099;6.544;609;25.10.2020
Mecklenburg-Vorpommern;2.133;+77;431;21;25.10.2020
Niedersachsen;29.640;+539;3.552;729;25.10.2020
Nordrhein-Westfalen;107.759;+3.142;17.224;2.017;25.10.2020
Rheinland-Pfalz;16.118;+337;2.377;268;25.10.2020
Saarland;5.289;+281;895;178;25.10.2020
Sachsen;13.237;+784;2.662;278;25.10.2020
Sachsen-Anhalt;3.905;+145;623;74;25.10.2020
Schleswig-Holstein;6.662;+142;974;164;25.10.2020
Thüringen;5.802;+256;878;202;25.10.2020
Gesamt;429.181;+11.176;56.866;10.032;25.10.2020
