Bundesland;Anzahl;Differenz;Faelle;Todesfaelle;Stand
Baden-Württemberg;43.861;+269;1.552;1.867;8.9.2020
Bayern;59.804;+506;2.125;2.643;8.9.2020
Berlin;11.792;+65;455;226;8.9.2020
Brandenburg;3.943;+12;59;169;8.9.2020
Bremen;2.073;+3;74;58;8.9.2020
Hamburg;6.527;+41;200;267;8.9.2020
Hessen;16.278;+133;669;535;8.9.2020
Mecklenburg-Vorpommern;1.034;+11;26;20;8.9.2020
Niedersachsen;17.372;+88;496;665;8.9.2020
Nordrhein-Westfalen;60.695;+262;1.617;1.823;8.9.2020
Rheinland-Pfalz;9.434;+70;300;243;8.9.2020
Saarland;3.199;0;44;174;8.9.2020
Sachsen;6.155;+6;126;225;8.9.2020
Sachsen-Anhalt;2.287;+5;39;66;8.9.2020
Schleswig-Holstein;4.150;+24;103;161;8.9.2020
Thüringen;3.694;+4;59;187;8.9.2020
Gesamt;252.298;+1.499;7.944;9.329;8.9.2020
