Bundesland;Anzahl;Differenz;Faelle;Todesfaelle;Stand
Baden-Württemberg;37.896;+105;377;1.858;11.8.2020
Bayern;51.946;+98;578;2.627;11.8.2020
Berlin;9.740;+42;355;224;11.8.2020
Brandenburg;3.634;+7;50;169;11.8.2020
Bremen;1.809;+5;23;56;11.8.2020
Hamburg;5.691;+13;201;262;11.8.2020
Hessen;12.815;+78;594;525;11.8.2020
Mecklenburg-Vorpommern;943;+5;56;20;11.8.2020
Niedersachsen;15.056;+82;377;654;11.8.2020
Nordrhein-Westfalen;52.175;+413;2.348;1.763;11.8.2020
Rheinland-Pfalz;7.871;+39;270;239;11.8.2020
Saarland;2.942;+12;50;174;11.8.2020
Sachsen;5.655;+23;92;225;11.8.2020
Sachsen-Anhalt;2.068;+7;34;64;11.8.2020
Schleswig-Holstein;3.620;+32;126;158;11.8.2020
Thüringen;3.432;+5;45;183;11.8.2020
Gesamt;217.293;+966;5.576;9.201;11.8.2020
