Bundesland;Anzahl;Differenz;Faelle;Todesfaelle;Stand
Baden-Württemberg;35.476;+30;195;1.830;26.6.2020
Bayern;48.202;+80;272;2.594;26.6.2020
Berlin;8.096;+75;414;212;26.6.2020
Brandenburg;3.437;+9;51;165;26.6.2020
Bremen;1.658;+5;32;49;26.6.2020
Hamburg;5.173;-2;25;259;26.6.2020
Hessen;10.707;+41;193;505;26.6.2020
Mecklenburg-Vorpommern;797;+1;5;20;26.6.2020
Niedersachsen;13.422;+44;253;625;26.6.2020
Nordrhein-Westfalen;42.150;+158;1.656;1.673;26.6.2020
Rheinland-Pfalz;6.951;+11;54;235;26.6.2020
Saarland;2.802;+1;5;171;26.6.2020
Sachsen;5.439;+1;38;222;26.6.2020
Sachsen-Anhalt;1.862;+4;44;58;26.6.2020
Schleswig-Holstein;3.144;+4;13;152;26.6.2020
Thüringen;3.240;+15;27;178;26.6.2020
Gesamt;192.556;+477;3.277;8.948;26.6.2020
