Bundesland;Anzahl;Differenz;Faelle;Todesfaelle;Stand
Baden-Württemberg;45.323;+69;1.269;1.868;15.9.2020
Bayern;62.401;+427;2.324;2.647;15.9.2020
Berlin;12.354;+85;486;226;15.9.2020
Brandenburg;4.016;+10;63;169;15.9.2020
Bremen;2.137;+2;64;59;15.9.2020
Hamburg;6.846;+21;253;268;15.9.2020
Hessen;16.985;+108;677;540;15.9.2020
Mecklenburg-Vorpommern;1.064;+9;28;20;15.9.2020
Niedersachsen;18.023;+112;557;667;15.9.2020
Nordrhein-Westfalen;62.725;+464;1.982;1.834;15.9.2020
Rheinland-Pfalz;9.795;+31;326;247;15.9.2020
Saarland;3.234;-11*;46;175;15.9.2020
Sachsen;6.430;+27;243;226;15.9.2020
Sachsen-Anhalt;2.359;+4;70;66;15.9.2020
Schleswig-Holstein;4.255;+24;104;161;15.9.2020
Thüringen;3.815;+25;114;189;15.9.2020
Gesamt;261.762;+1.407;8.606;9.362;15.9.2020
