Bundesland;Anzahl;Differenz;Faelle;Todesfaelle;Stand
Baden-Württemberg;38.270;+108;522;1.859;14.8.2020
Bayern;52.645;+209;861;2.631;14.8.2020
Berlin;9.976;0*;383;224;14.8.2020
Brandenburg;3.683;+32;61;169;14.8.2020
Bremen;1.828;+6;30;56;14.8.2020
Hamburg;5.821;+47;176;264;14.8.2020
Hessen;13.187;+179;653;526;14.8.2020
Mecklenburg-Vorpommern;959;+5;33;20;14.8.2020
Niedersachsen;15.318;+142;424;656;14.8.2020
Nordrhein-Westfalen;53.661;+538;2.571;1.772;14.8.2020
Rheinland-Pfalz;8.059;+85;343;241;14.8.2020
Saarland;2.976;+21;57;174;14.8.2020
Sachsen;5.705;+20;72;225;14.8.2020
Sachsen-Anhalt;2.099;+9;47;64;14.8.2020
Schleswig-Holstein;3.744;+30;173;158;14.8.2020
Thüringen;3.482;+18;66;186;14.8.2020
Gesamt;221.413;+1.449;6.472;9.225;14.8.2020
