Bundesland;Anzahl;Differenz;Faelle;Todesfaelle;Stand
Baden-Württemberg;306.401;217;5.187;7.805;16.2.2021
Bayern;421.792;553;7.596;11.773;16.2.2021
Berlin;124.979;197;1.918;2.619;16.2.2021
Brandenburg;73.381;140;1.806;2.820;16.2.2021
Bremen;17.001;28;438;314;16.2.2021
Hamburg;49.169;186;1.118;1.197;16.2.2021
Hessen;180.927;224;3.500;5.505;16.2.2021
Mecklenburg-Vorpommern;22.395;55;1.026;645;16.2.2021
Niedersachsen;154.185;534;5.139;3.881;16.2.2021
Nordrhein-Westfalen;511.231;709;10.057;12.212;16.2.2021
Rheinland-Pfalz;98.130;258;1.994;2.907;16.2.2021
Saarland;27.644;36;659;827;16.2.2021
Sachsen;187.820;218;2.787;7.190;16.2.2021
Sachsen-Anhalt;56.819;143;1.734;2.140;16.2.2021
Schleswig-Holstein;39.790;129;1.671;1.155;16.2.2021
Thüringen;71.179;229;2.164;2.614;16.2.2021
Gesamt;2.342.843;3.856;48.794;65.604;16.2.2021
