Bundesland;Anzahl;Differenz;Faelle;Todesfaelle;Stand
Baden-Württemberg;39.227;+259;959;1.860;20.8.2020
Bayern;54.101;+394;1.595;2.631;20.8.2020
Berlin;10.463;+69;400;224;20.8.2020
Brandenburg;3.740;+12;60;169;20.8.2020
Bremen;1.877;+12;55;56;20.8.2020
Hamburg;5.954;+27;119;264;20.8.2020
Hessen;14.029;+187;928;528;20.8.2020
Mecklenburg-Vorpommern;981;+3;27;20;20.8.2020
Niedersachsen;15.724;+162;471;658;20.8.2020
Nordrhein-Westfalen;55.770;+395;2.490;1.790;20.8.2020
Rheinland-Pfalz;8.427;+93;430;242;20.8.2020
Saarland;3.039;+22;78;174;20.8.2020
Sachsen;5.769;+20;65;226;20.8.2020
Sachsen-Anhalt;2.146;+12;48;65;20.8.2020
Schleswig-Holstein;3.851;+26;130;160;20.8.2020
Thüringen;3.523;+14;47;186;20.8.2020
Gesamt;228.621;+1.707;7.902;9.253;20.8.2020
