Bundesland;Anzahl;Differenz;Faelle;Todesfaelle;Stand
Baden-Württemberg;309.004;927;4.565;7.895;19.2.2021
Bayern;425.826;1.292;7.173;12.042;19.2.2021
Berlin;126.201;475;1.862;2.702;19.2.2021
Brandenburg;74.358;293;1.673;2.893;19.2.2021
Bremen;17.170;0;376;317;19.2.2021
Hamburg;49.747;194;1.109;1.210;19.2.2021
Hessen;183.111;726;3.556;5.633;19.2.2021
Mecklenburg-Vorpommern;23.020;198;1.045;680;19.2.2021
Niedersachsen;156.578;738;4.581;4.009;19.2.2021
Nordrhein-Westfalen;517.037;2.090;10.411;12.520;19.2.2021
Rheinland-Pfalz;99.205;446;1.931;2.962;19.2.2021
Saarland;27.938;88;510;840;19.2.2021
Sachsen;189.534;578;2.686;7.351;19.2.2021
Sachsen-Anhalt;57.805;326;1.871;2.253;19.2.2021
Schleswig-Holstein;40.537;264;1.427;1.197;19.2.2021
Thüringen;72.648;478;2.490;2.702;19.2.2021
Gesamt;2.369.719;9.113;47.266;67.206;19.2.2021
