Bundesland;Anzahl;Differenz;Faelle;Todesfaelle;Stand
Baden-Württemberg;37.642;+68;340;1.852;7.8.2020
Bayern;51.710;+128;750;2.626;7.8.2020
Berlin;9.543;+53;315;224;7.8.2020
Brandenburg;3.600;+3;30;168;7.8.2020
Bremen;1.798;+6;24;56;7.8.2020
Hamburg;5.530;+44;124;262;7.8.2020
Hessen;12.468;+158;473;524;7.8.2020
Mecklenburg-Vorpommern;910;+3;44;20;7.8.2020
Niedersachsen;14.847;+124;357;654;7.8.2020
Nordrhein-Westfalen;50.937;+444;2.148;1.755;7.8.2020
Rheinland-Pfalz;7.713;+46;190;239;7.8.2020
Saarland;2.900;+3;24;174;7.8.2020
Sachsen;5.590;+20;49;225;7.8.2020
Sachsen-Anhalt;2.044;0;25;64;7.8.2020
Schleswig-Holstein;3.569;+35;138;158;7.8.2020
Thüringen;3.413;+12;46;182;7.8.2020
Gesamt;214.214;+1.147;5.077;9.183;7.8.2020
