Bundesland;Anzahl;Differenz;Faelle;Todesfaelle;Stand
Baden-Württemberg;40.685;+327;1.501;1.862;26.8.2020
Bayern;55.767;+353;1.881;2.635;26.8.2020
Berlin;10.852;+66;407;226;26.8.2020
Brandenburg;3.818;+23;74;169;26.8.2020
Bremen;1.924;+11;59;56;26.8.2020
Hamburg;6.110;+27;145;265;26.8.2020
Hessen;15.025;+216;1.146;528;26.8.2020
Mecklenburg-Vorpommern;998;+1;20;20;26.8.2020
Niedersachsen;16.274;+83;514;662;26.8.2020
Nordrhein-Westfalen;57.560;+347;2.002;1.804;26.8.2020
Rheinland-Pfalz;8.759;+46;383;243;26.8.2020
Saarland;3.085;+5;65;174;26.8.2020
Sachsen;5.841;+14;71;225;26.8.2020
Sachsen-Anhalt;2.199;+16;57;65;26.8.2020
Schleswig-Holstein;3.961;+34;129;160;26.8.2020
Thüringen;3.571;+7;51;186;26.8.2020
Gesamt;236.429;+1.576;8.505;9.280;26.8.2020
