Bundesland;Anzahl;Differenz;Faelle;Todesfaelle;Stand
Baden-Württemberg;186.044;3.086;20.026;3.400;13.12.2020
Bayern;256.903;3.834;26.282;4.848;13.12.2020
Berlin;78.248;1.040;6.859;813;13.12.2020
Brandenburg;26.434;616;3.413;481;13.12.2020
Bremen;11.661;173;915;154;13.12.2020
Hamburg;29.135;515;2.317;478;13.12.2020
Hessen;107.361;1.427;11.076;1.749;13.12.2020
Mecklenburg-Vorpommern;8.069;199;1.334;96;13.12.2020
Niedersachsen;84.771;836;6.821;1.419;13.12.2020
Nordrhein-Westfalen;314.937;4.005;29.131;4.455;13.12.2020
Rheinland-Pfalz;55.536;567;6.080;846;13.12.2020
Saarland;15.588;128;1.590;301;13.12.2020
Sachsen;84.245;2.019;14.197;1.652;13.12.2020
Sachsen-Anhalt;18.152;449;3.121;271;13.12.2020
Schleswig-Holstein;17.960;445;2.294;291;13.12.2020
Thüringen;25.672;861;4.927;533;13.12.2020
Gesamt;1.320.716;20.200;140.383;21.787;13.12.2020
