Bundesland;Anzahl;Differenz;Faelle;Todesfaelle;Stand
Baden-Württemberg;50.240;+135;1.481;1.888;3.10.2020
Bayern;69.186;+333;2.043;2.672;3.10.2020
Berlin;15.371;+339;1.253;231;3.10.2020
Brandenburg;4.369;+43;138;169;3.10.2020
Bremen;2.557;+46;238;59;3.10.2020
Hamburg;8.064;+80;391;271;3.10.2020
Hessen;19.616;+292;1.120;552;3.10.2020
Mecklenburg-Vorpommern;1.220;+17;67;20;3.10.2020
Niedersachsen;20.777;+286;958;690;3.10.2020
Nordrhein-Westfalen;72.063;+706;3.946;1.882;3.10.2020
Rheinland-Pfalz;10.975;+112;483;256;3.10.2020
Saarland;3.380;+42;91;177;3.10.2020
Sachsen;7.391;+42;275;239;3.10.2020
Sachsen-Anhalt;2.693;+16;129;68;3.10.2020
Schleswig-Holstein;4.898;+50;233;162;3.10.2020
Thüringen;4.158;+24;108;191;3.10.2020
Gesamt;296.958;+2.563;12.954;9.527;3.10.2020
