Bundesland;Anzahl;Differenz;Faelle;Todesfaelle;Stand
Baden-Württemberg;34.466;+35;368;1.707;26.5.2020
Bayern;46.456;+130;738;2.401;26.5.2020
Berlin;6.652;+10;155;191;26.5.2020
Brandenburg;3.236;22;29;154;26.5.2020
Bremen;1.313;+1;75;42;26.5.2020
Hamburg;5.069;0;23;241;26.5.2020
Hessen;9.804;34;336;462;26.5.2020
Mecklenburg-Vorpommern;760;0;10;20;26.5.2020
Niedersachsen;11.646;68;361;574;26.5.2020
Nordrhein-Westfalen;37.395;+97;769;1.571;26.5.2020
Rheinland-Pfalz;6.600;+4;82;228;26.5.2020
Saarland;2.727;+11;22;158;26.5.2020
Sachsen;5.236;+5;89;207;26.5.2020
Sachsen-Anhalt;1.698;+4;19;54;26.5.2020
Schleswig-Holstein;3.067;+5;64;139;26.5.2020
Thüringen;2.877;+6;120;153;26.5.2020
Gesamt;179.002;+432;3.260;8.302;26.5.2020
