Bundesland;Anzahl;Differenz;Faelle;Todesfaelle;Stand
Baden-Württemberg;132.011;+2.106;15.002;2.441;22.11.2020
Bayern;181.001;+3.479;22.529;3.426;22.11.2020
Berlin;56.068;+1.050;8.223;447;22.11.2020
Brandenburg;15.315;+283;2.166;277;22.11.2020
Bremen;9.212;+160;1.009;106;22.11.2020
Hamburg;22.531;+433;1.979;336;22.11.2020
Hessen;75.789;+1.421;10.687;1.027;22.11.2020
Mecklenburg-Vorpommern;5.154;+90;745;53;22.11.2020
Niedersachsen;62.553;+932;6.817;1.004;22.11.2020
Nordrhein-Westfalen;230.976;+3.193;28.974;2.956;22.11.2020
Rheinland-Pfalz;37.587;+455;5.066;416;22.11.2020
Saarland;11.345;+98;1.138;236;22.11.2020
Sachsen;42.597;+1.261;7.197;648;22.11.2020
Sachsen-Anhalt;9.791;+211;1.562;122;22.11.2020
Schleswig-Holstein;12.791;+153;1.329;234;22.11.2020
Thüringen;13.548;+416;2.588;293;22.11.2020
Gesamt;918.269;+15.741;117.011;14.022;22.11.2020
