Bundesland;Anzahl;Differenz;Faelle;Todesfaelle;Stand
Baden-Württemberg;37.574;+60;363;1.851;6.8.2020
Bayern;51.582;+205;722;2.624;6.8.2020
Berlin;9.490;+91;310;224;6.8.2020
Brandenburg;3.597;+9;36;168;6.8.2020
Bremen;1.792;+2;29;56;6.8.2020
Hamburg;5.486;+25;101;261;6.8.2020
Hessen;12.310;+56;397;523;6.8.2020
Mecklenburg-Vorpommern;907;+18;45;20;6.8.2020
Niedersachsen;14.723;+52;297;654;6.8.2020
Nordrhein-Westfalen;50.493;+425;2.052;1.752;6.8.2020
Rheinland-Pfalz;7.667;+49;169;239;6.8.2020
Saarland;2.897;+6;29;174;6.8.2020
Sachsen;5.570;+10;33;225;6.8.2020
Sachsen-Anhalt;2.044;+8;32;64;6.8.2020
Schleswig-Holstein;3.534;+18;128;158;6.8.2020
Thüringen;3.401;+11;40;182;6.8.2020
Gesamt;213.067;+1.045;4.783;9.175;6.8.2020
