Bundesland;Anzahl;Differenz;Faelle;Todesfaelle;Stand
Baden-Württemberg;170.904;2.639;17.030;3.170;9.12.2020
Bayern;238.442;3.828;23.485;4.518;9.12.2020
Berlin;73.430;1.348;6.471;732;9.12.2020
Brandenburg;23.373;632;2.746;435;9.12.2020
Bremen;10.973;114;734;142;9.12.2020
Hamburg;27.363;282;1.884;435;9.12.2020
Hessen;99.560;1.661;9.890;1.578;9.12.2020
Mecklenburg-Vorpommern;7.058;223;919;86;9.12.2020
Niedersachsen;79.187;891;5.931;1.299;9.12.2020
Nordrhein-Westfalen;294.740;4.072;26.478;4.167;9.12.2020
Rheinland-Pfalz;51.185;1.423;5.660;736;9.12.2020
Saarland;14.412;239;1.346;286;9.12.2020
Sachsen;73.767;2.131;12.835;1.381;9.12.2020
Sachsen-Anhalt;15.832;436;2.711;229;9.12.2020
Schleswig-Holstein;16.277;313;1.686;271;9.12.2020
Thüringen;22.021;583;3.987;467;9.12.2020
Gesamt;1.218.524;20.815;123.793;19.932;9.12.2020
