Bundesland;Anzahl;Differenz;Faelle;Todesfaelle;Stand
Baden-Württemberg;47.107;+172;1.638;1.871;21.9.2020
Bayern;64.919;+294;2.629;2.648;21.9.2020
Berlin;13.109;+44;801;227;21.9.2020
Brandenburg;4.090;+2;70;169;21.9.2020
Bremen;2.219;+4;82;59;21.9.2020
Hamburg;7.165;+15;277;269;21.9.2020
Hessen;17.637;+51;730;544;21.9.2020
Mecklenburg-Vorpommern;1.105;0;41;20;21.9.2020
Niedersachsen;18.900;+109;871;669;21.9.2020
Nordrhein-Westfalen;65.232;+154;2.708;1.845;21.9.2020
Rheinland-Pfalz;10.116;+31;340;247;21.9.2020
Saarland;3.234;+2;60;176;21.9.2020
Sachsen;6.692;+13;254;226;21.9.2020
Sachsen-Anhalt;2.453;+10;94;66;21.9.2020
Schleswig-Holstein;4.421;+16;180;161;21.9.2020
Thüringen;3.938;+5;130;189;21.9.2020
Gesamt;272.337;+922;10.905;9.386;21.9.2020
