Bundesland;Anzahl;Differenz;Faelle;Todesfaelle;Stand
Baden-Württemberg;34.937;+25;147;1.791;8.6.2020
Bayern;47.371;+37;284;2.505;8.6.2020
Berlin;7.016;+19;176;205;8.6.2020
Brandenburg;3.304;+7;23;160;8.6.2020
Bremen;1.531;+14;96;44;8.6.2020
Hamburg;5.115;+2;22;254;8.6.2020
Hessen;10.207;+4;131;484;8.6.2020
Mecklenburg-Vorpommern;774;+1;13;20;8.6.2020
Niedersachsen;12.509;+43;436;605;8.6.2020
Nordrhein-Westfalen;38.660;+44;594;1.623;8.6.2020
Rheinland-Pfalz;6.781;+6;77;230;8.6.2020
Saarland;2.747;0;22;166;8.6.2020
Sachsen;5.330;+7;26;214;8.6.2020
Sachsen-Anhalt;1.720;0;12;56;8.6.2020
Schleswig-Holstein;3.110;+1;11;147;8.6.2020
Thüringen;3.081;+4;60;170;8.6.2020
Gesamt;184.193;+214;2.130;8.674;8.6.2020
