Bundesland;Anzahl;Differenz;Faelle;Todesfaelle;Stand
Baden-Württemberg;102.293;+1.541;15.072;2.133;10.11.2020
Bayern;136.636;+2.828;22.540;2.953;10.11.2020
Berlin;40.460;+836;6.221;301;10.11.2020
Brandenburg;10.790;+274;1.795;223;10.11.2020
Bremen;7.254;+121;1.363;88;10.11.2020
Hamburg;17.437;+298;2.251;304;10.11.2020
Hessen;55.744;+1.701;10.811;786;10.11.2020
Mecklenburg-Vorpommern;3.786;+41;802;31;10.11.2020
Niedersachsen;47.319;+997;7.440;834;10.11.2020
Nordrhein-Westfalen;175.951;+4.320;30.248;2.395;10.11.2020
Rheinland-Pfalz;27.237;+885;5.168;325;10.11.2020
Saarland;8.640;+214;1.359;202;10.11.2020
Sachsen;27.339;+659;6.038;409;10.11.2020
Sachsen-Anhalt;6.928;+194;1.338;93;10.11.2020
Schleswig-Holstein;10.214;+214;1.554;205;10.11.2020
Thüringen;9.172;+209;1.668;224;10.11.2020
Gesamt;687.200;+15.332;115.668;11.506;10.11.2020
