Bundesland;Anzahl;Differenz;Faelle;Todesfaelle;Stand
Baden-Württemberg;305.815;791;5.388;7.741;14.2.2021
Bayern;420.472;828;7.295;11.679;14.2.2021
Berlin;124.711;193;2.100;2.604;14.2.2021
Brandenburg;73.087;234;1.804;2.790;14.2.2021
Bremen;16.909;51;400;310;14.2.2021
Hamburg;48.865;179;1.146;1.196;14.2.2021
Hessen;180.444;394;3.456;5.448;14.2.2021
Mecklenburg-Vorpommern;22.276;169;1.071;628;14.2.2021
Niedersachsen;153.187;733;4.659;3.836;14.2.2021
Nordrhein-Westfalen;509.494;1.291;9.714;12.096;14.2.2021
Rheinland-Pfalz;97.640;119;1.907;2.877;14.2.2021
Saarland;27.593;79;709;817;14.2.2021
Sachsen;187.317;256;2.648;7.127;14.2.2021
Sachsen-Anhalt;56.457;326;1.675;2.109;14.2.2021
Schleswig-Holstein;39.539;188;1.661;1.126;14.2.2021
Thüringen;70.755;283;2.082;2.576;14.2.2021
Gesamt;2.334.561;6.114;47.715;64.960;14.2.2021
