Bundesland;Anzahl;Differenz;Faelle;Todesfaelle;Stand
Baden-Württemberg;35.090;0*;110;1.805;15.6.2020
Bayern;47.642;+16;249;2.541;15.6.2020
Berlin;7.322;+40;301;208;15.6.2020
Brandenburg;3.329;+3;31;163;15.6.2020
Bremen;1.592;+3;60;48;15.6.2020
Hamburg;5.144;+5;25;255;15.6.2020
Hessen;10.324;0*;107;491;15.6.2020
Mecklenburg-Vorpommern;782;0;8;20;15.6.2020
Niedersachsen;12.909;+35;336;614;15.6.2020
Nordrhein-Westfalen;39.307;+74;634;1.646;15.6.2020
Rheinland-Pfalz;6.841;+1;50;231;15.6.2020
Saarland;2.772;0;23;168;15.6.2020
Sachsen;5.347;+1;18;219;15.6.2020
Sachsen-Anhalt;1.768;+12;48;57;15.6.2020
Schleswig-Holstein;3.121;0;9;151;15.6.2020
Thüringen;3.171;2;74;174;15.6.2020
Gesamt;186.461;+192;2.083;8.791;15.6.2020
