Bundesland;Anzahl;Differenz;Faelle;Todesfaelle;Stand
Baden-Württemberg;50.934;+171;1.762;1.890;5.10.2020
Bayern;69.631;+145;2.130;2.672;5.10.2020
Berlin;15.648;+74;1.420;231;5.10.2020
Brandenburg;4.421;+28;183;169;5.10.2020
Bremen;2.619;+21;249;59;5.10.2020
Hamburg;8.241;+65;445;273;5.10.2020
Hessen;19.978;+190;1.294;553;5.10.2020
Mecklenburg-Vorpommern;1.220;+0*;56;20*;5.10.2020
Niedersachsen;21.075;+121;1.021;690;5.10.2020
Nordrhein-Westfalen;72.995;+414;3.986;1.884;5.10.2020
Rheinland-Pfalz;11.086;+71;489;256;5.10.2020
Saarland;3.380;+0*;83;177*;5.10.2020
Sachsen;7.502;+43;321;239;5.10.2020
Sachsen-Anhalt;2.746;+10;138;68;5.10.2020
Schleswig-Holstein;4.938;+24;243;162;5.10.2020
Thüringen;4.205;+5;145;191;5.10.2020
Gesamt;300.619;+1.382;13.965;9.534;5.10.2020
