Bundesland;Anzahl;Differenz;Faelle;Todesfaelle;Stand
Baden-Württemberg;61.694;+973;5.419;1.946;21.10.2020
Bayern;82.102;+1.222;7.213;2.726;21.10.2020
Berlin;22.727;+822;3.399;243;21.10.2020
Brandenburg;5.670;+96;577;175;21.10.2020
Bremen;3.725;+95;563;63;21.10.2020
Hamburg;10.207;+204;852;281;21.10.2020
Hessen;27.307;+749;4.395;590;21.10.2020
Mecklenburg-Vorpommern;1.790;+71;283;21;21.10.2020
Niedersachsen;26.611;+255;2.573;719;21.10.2020
Nordrhein-Westfalen;94.883;+2.189;12.027;1.970;21.10.2020
Rheinland-Pfalz;14.199;+242;1.624;265;21.10.2020
Saarland;4.467;+30;577;177;21.10.2020
Sachsen;10.906;+386;1.704;264;21.10.2020
Sachsen-Anhalt;3.387;+53;366;71;21.10.2020
Schleswig-Holstein;5.989;+110;597;163;21.10.2020
Thüringen;5.098;+98;520;201;21.10.2020
Gesamt;380.762;+7.595;42.689;9.875;21.10.2020
