Bundesland;Anzahl;Differenz;Faelle;Todesfaelle;Stand
Baden-Württemberg;272.796;820;12.318;6.071;17.1.2021
Bayern;374.868;2.172;18.598;8.690;17.1.2021
Berlin;112.262;532;5.886;1.823;17.1.2021
Brandenburg;56.836;800;5.193;1.595;17.1.2021
Bremen;14.900;104;588;231;17.1.2021
Hamburg;42.727;378;2.011;904;17.1.2021
Hessen;158.544;1.289;8.164;3.936;17.1.2021
Mecklenburg-Vorpommern;16.614;253;1.909;298;17.1.2021
Niedersachsen;128.015;900;7.317;2.628;17.1.2021
Nordrhein-Westfalen;450.721;3.228;22.084;9.091;17.1.2021
Rheinland-Pfalz;84.639;410;4.366;2.048;17.1.2021
Saarland;23.132;193;1.091;608;17.1.2021
Sachsen;166.572;1.280;10.287;5.079;17.1.2021
Sachsen-Anhalt;42.680;431;4.954;1.133;17.1.2021
Schleswig-Holstein;30.956;375;2.502;651;17.1.2021
Thüringen;57.256;717;5.851;1.633;17.1.2021
Gesamt;2.033.518;13.882;113.119;46.419;17.1.2021
