Bundesland;Anzahl;Differenz;Faelle;Todesfaelle;Stand
Baden-Württemberg;36.264;+37;228;1.839;17.7.2020
Bayern;49.631;+93;481;2.616;17.7.2020
Berlin;8.725;+26;123;221;17.7.2020
Brandenburg;3.470;+4;19;167;17.7.2020
Bremen;1.701;+4;13;55;17.7.2020
Hamburg;5.232;-1;6;260;17.7.2020
Hessen;11.324;+41;217;514;17.7.2020
Mecklenburg-Vorpommern;805;0;1;20;17.7.2020
Niedersachsen;13.905;+18;92;644;17.7.2020
Nordrhein-Westfalen;45.710;+322;1.026;1.711;17.7.2020
Rheinland-Pfalz;7.275;+17;141;238;17.7.2020
Saarland;2.827;+3;15;174;17.7.2020
Sachsen;5.485;+1;13;225;17.7.2020
Sachsen-Anhalt;1.936;+10;29;62;17.7.2020
Schleswig-Holstein;3.238;+3;34;154;17.7.2020
Thüringen;3.315;+5;26;182;17.7.2020
Gesamt;200.843;+583;2.464;9.082;17.7.2020
