Bundesland;Anzahl;Differenz;Faelle;Todesfaelle;Stand
Baden-Württemberg;294.255;608;8.280;7.181;2.2.2021
Bayern;404.215;761;12.077;10.496;2.2.2021
Berlin;120.397;454;2.968;2.295;2.2.2021
Brandenburg;68.694;359;3.111;2.361;2.2.2021
Bremen;16.033;35;570;273;2.2.2021
Hamburg;46.554;155;1.401;1.074;2.2.2021
Hessen;172.367;311;5.685;4.926;2.2.2021
Mecklenburg-Vorpommern;20.022;85;1.436;474;2.2.2021
Niedersachsen;143.160;427;6.074;3.324;2.2.2021
Nordrhein-Westfalen;487.938;946;15.008;10.973;2.2.2021
Rheinland-Pfalz;93.372;328;3.341;2.573;2.2.2021
Saarland;25.829;22;1.203;743;2.2.2021
Sachsen;180.623;413;4.880;6.367;2.2.2021
Sachsen-Anhalt;52.462;842;3.186;1.773;2.2.2021
Schleswig-Holstein;36.343;139;2.309;917;2.2.2021
Thüringen;65.821;229;3.340;2.231;2.2.2021
Gesamt;2.228.085;6.114;74.869;57.981;2.2.2021
