Bundesland;Anzahl;Differenz;Faelle;Todesfaelle;Stand
Baden-Württemberg;34.796;+12;263;1.758;2.6.2020
Bayern;47.029;+25;543;2.456;2.6.2020
Berlin;6.839;+23;169;198;2.6.2020
Brandenburg;3.274;+1;29;155;2.6.2020
Bremen;1.436;38;123;42;2.6.2020
Hamburg;5.098;+9;16;253;2.6.2020
Hessen;10.060;+13;252;480;2.6.2020
Mecklenburg-Vorpommern;761;0;2;20;2.6.2020
Niedersachsen;12.065;+22;392;594;2.6.2020
Nordrhein-Westfalen;38.100;+54;640;1.599;2.6.2020
Rheinland-Pfalz;6.704;+1;97;230;2.6.2020
Saarland;2.730;6;21;163;2.6.2020
Sachsen;5.309;0;58;211;2.6.2020
Sachsen-Anhalt;1.707;+1;8;55;2.6.2020
Schleswig-Holstein;3.103;+6;36;145;2.6.2020
Thüringen;3.017;+2;126;163;2.6.2020
Gesamt;182.028;+213;2.775;8.522;2.6.2020
