Bundesland;Anzahl;Differenz;Faelle;Todesfaelle;Stand
Baden-Württemberg;41.574;+326;1.553;1.862;29.8.2020
Bayern;56.972;+333;1.986;2.638;29.8.2020
Berlin;11.125;+114;421;226;29.8.2020
Brandenburg;3.867;+10;70;169;29.8.2020
Bremen;1.980;+22;88;56;29.8.2020
Hamburg;6.193;+26;131;266;29.8.2020
Hessen;15.351;+119;838;530;29.8.2020
Mecklenburg-Vorpommern;1.004;+3;14;20;29.8.2020
Niedersachsen;16.628;+122;502;660;29.8.2020
Nordrhein-Westfalen;58.452;+265;1.708;1.809;29.8.2020
Rheinland-Pfalz;8.928;+54;314;243;29.8.2020
Saarland;3.126;+14;49;174;29.8.2020
Sachsen;5.934;+29;115;225;29.8.2020
Sachsen-Anhalt;2.226;+8;48;65;29.8.2020
Schleswig-Holstein;4.015;+15;123;160;29.8.2020
Thüringen;3.611;+19;63;186;29.8.2020
Gesamt;240.986;+1.479;8.023;9.289;29.8.2020
