Bundesland;Anzahl;Differenz;Faelle;Todesfaelle;Stand
Baden-Württemberg;221.854;4.390;22.699;4.331;24.12.2020
Bayern;301.881;5.384;27.257;6.069;24.12.2020
Berlin;91.116;1.597;7.598;1.105;24.12.2020
Brandenburg;35.280;1.163;4.925;753;24.12.2020
Bremen;13.020;255;940;177;24.12.2020
Hamburg;33.870;562;2.833;571;24.12.2020
Hessen;126.214;1.165;11.644;2.331;24.12.2020
Mecklenburg-Vorpommern;10.532;322;1.537;134;24.12.2020
Niedersachsen;99.234;2.275;8.830;1.753;24.12.2020
Nordrhein-Westfalen;369.058;6.628;34.548;5.778;24.12.2020
Rheinland-Pfalz;66.745;1.272;6.741;1.198;24.12.2020
Saarland;18.549;365;1.678;387;24.12.2020
Sachsen;115.799;3.877;17.333;2.562;24.12.2020
Sachsen-Anhalt;25.137;888;4.429;478;24.12.2020
Schleswig-Holstein;22.558;703;3.199;352;24.12.2020
Thüringen;36.268;1.349;6.995;791;24.12.2020
Gesamt;1.587.115;32.195;163.186;28.770;24.12.2020
