Bundesland;Anzahl;Differenz;Faelle;Todesfaelle;Stand
Baden-Württemberg;46.428;+387;1.563;1.869;18.9.2020
Bayern;63.918;+286;2.459;2.648;18.9.2020
Berlin;12.733;+140;560;227;18.9.2020
Brandenburg;4.060;+9;59;169;18.9.2020
Bremen;2.177;+3;65;59;18.9.2020
Hamburg;7.010;+46;242;269;18.9.2020
Hessen;17.342;+109;725;543;18.9.2020
Mecklenburg-Vorpommern;1.093;+12;46;20;18.9.2020
Niedersachsen;18.529;+273;777;667;18.9.2020
Nordrhein-Westfalen;64.084;+519;2.457;1.842;18.9.2020
Rheinland-Pfalz;9.990;+61;358;247;18.9.2020
Saarland;3.214;-48;58;176;18.9.2020
Sachsen;6.581;+59;260;226;18.9.2020
Sachsen-Anhalt;2.380;+2;57;66;18.9.2020
Schleswig-Holstein;4.350;+39;138;161;18.9.2020
Thüringen;3.884;+19;136;189;18.9.2020
Gesamt;267.773;+1.916;9.960;9.378;18.9.2020
