Bundesland;Anzahl;Differenz;Faelle;Todesfaelle;Stand
Baden-Württemberg;302.110;1.019;6.395;7.552;10.2.2021
Bayern;415.276;944;9.102;11.371;10.2.2021
Berlin;123.192;302;2.062;2.507;10.2.2021
Brandenburg;71.659;356;2.003;2.716;10.2.2021
Bremen;16.618;49;469;301;10.2.2021
Hamburg;48.045;161;1.083;1.158;10.2.2021
Hessen;177.988;657;4.510;5.296;10.2.2021
Mecklenburg-Vorpommern;21.556;205;1.240;596;10.2.2021
Niedersachsen;149.347;470;4.782;3.682;10.2.2021
Nordrhein-Westfalen;502.766;2.266;12.034;11.796;10.2.2021
Rheinland-Pfalz;96.371;295;2.360;2.800;10.2.2021
Saarland;27.084;132;998;795;10.2.2021
Sachsen;185.204;324;3.085;6.895;10.2.2021
Sachsen-Anhalt;55.162;265;2.053;2.010;10.2.2021
Schleswig-Holstein;38.444;308;1.755;1.062;10.2.2021
Thüringen;69.174;319;2.616;2.432;10.2.2021
Gesamt;2.299.996;8.072;56.547;62.969;10.2.2021
