Bundesland;Anzahl;Differenz;Faelle;Todesfaelle;Stand
Baden-Württemberg;35.530;+54;212;1.829;27.6.2020
Bayern;48.262;+60;295;2.591;27.6.2020
Berlin;8.145;+49;327;213;27.6.2020
Brandenburg;3.437;+0;40;165;27.6.2020
Bremen;1.659;+1;23;50;27.6.2020
Hamburg;5.178;+5;28;259;27.6.2020
Hessen;10.731;+24;159;506;27.6.2020
Mecklenburg-Vorpommern;798;+1;5;20;27.6.2020
Niedersachsen;13.456;+34;212;627;27.6.2020
Nordrhein-Westfalen;42.571;+421;1.664;1.674;27.6.2020
Rheinland-Pfalz;6.971;+20;63;235;27.6.2020
Saarland;2.802;+0;4;172;27.6.2020
Sachsen;5.444;+5;32;222;27.6.2020
Sachsen-Anhalt;1.865;+3;26;58;27.6.2020
Schleswig-Holstein;3.146;+2;13;152;27.6.2020
Thüringen;3.248;+8;25;181;27.6.2020
Gesamt;193.243;+687;3.128;8.954;27.6.2020
