Bundesland;Anzahl;Differenz;Faelle;Todesfaelle;Stand
Baden-Württemberg;307.166;765;4.837;7.837;17.2.2021
Bayern;422.813;1.021;7.157;11.849;17.2.2021
Berlin;125.274;295;1.778;2.644;17.2.2021
Brandenburg;73.673;292;1.806;2.850;17.2.2021
Bremen;17.073;72;424;316;17.2.2021
Hamburg;49.319;150;1.081;1.202;17.2.2021
Hessen;181.523;596;3.438;5.553;17.2.2021
Mecklenburg-Vorpommern;22.625;230;1.030;657;17.2.2021
Niedersachsen;154.900;715;5.027;3.908;17.2.2021
Nordrhein-Westfalen;512.879;1.648;10.052;12.342;17.2.2021
Rheinland-Pfalz;98.391;261;1.853;2.928;17.2.2021
Saarland;27.723;79;605;830;17.2.2021
Sachsen;188.254;434;2.551;7.246;17.2.2021
Sachsen-Anhalt;57.085;266;1.796;2.170;17.2.2021
Schleswig-Holstein;40.041;251;1.621;1.177;17.2.2021
Thüringen;71.660;481;2.380;2.655;17.2.2021
Gesamt;2.350.399;7.556;47.436;66.164;17.2.2021
