Bundesland;Anzahl;Differenz;Faelle;Todesfaelle;Stand
Baden-Württemberg;35.942;+52;170;1.838;9.7.2020
Bayern;49.023;+70;459;2.609;9.7.2020
Berlin;8.537;+35;213;216;9.7.2020
Brandenburg;3.483;+7;29;168;9.7.2020
Bremen;1.684;+5;13;54;9.7.2020
Hamburg;5.230;+6;16;261;9.7.2020
Hessen;11.062;+50;191;514;9.7.2020
Mecklenburg-Vorpommern;805;0;1;20;9.7.2020
Niedersachsen;13.754;+6;123;640;9.7.2020
Nordrhein-Westfalen;44.492;+186;940;1.698;9.7.2020
Rheinland-Pfalz;7.112;+12;47;236;9.7.2020
Saarland;2.809;+1;5;174;9.7.2020
Sachsen;5.466;+1;13;225;9.7.2020
Sachsen-Anhalt;1.898;+2;22;60;9.7.2020
Schleswig-Holstein;3.200;+6;28;153;9.7.2020
Thüringen;3.286;+3;29;182;9.7.2020
Gesamt;197.783;+442;2.299;9.048;9.7.2020
