Bundesland;Anzahl;Differenz;Faelle;Todesfaelle;Stand
Baden-Württemberg;164.843;2.494;16.007;3.007;6.12.2020
Bayern;229.675;3.318;22.974;4.289;6.12.2020
Berlin;71.087;1.319;6.673;679;6.12.2020
Brandenburg;22.206;437;2.833;419;6.12.2020
Bremen;10.761;129;736;136;6.12.2020
Hamburg;26.619;347;1.930;419;6.12.2020
Hessen;95.954;1.517;9.182;1.460;6.12.2020
Mecklenburg-Vorpommern;6.687;82;758;74;6.12.2020
Niedersachsen;77.033;738;5.749;1.261;6.12.2020
Nordrhein-Westfalen;284.816;3.324;25.063;3.924;6.12.2020
Rheinland-Pfalz;48.779;519;5.164;666;6.12.2020
Saarland;13.887;244;1.271;271;6.12.2020
Sachsen;68.244;2.414;12.240;1.279;6.12.2020
Sachsen-Anhalt;14.616;276;2.322;208;6.12.2020
Schleswig-Holstein;15.627;235;1.424;264;6.12.2020
Thüringen;20.489;374;3.554;416;6.12.2020
Gesamt;1.171.323;17.767;117.880;18.772;6.12.2020
