Bundesland;Anzahl;Differenz;Faelle;Todesfaelle;Stand
Baden-Württemberg;100.752;+1.706;15.438;2.120;9.11.2020
Bayern;133.808;+3.173;22.521;2.923;9.11.2020
Berlin;39.624;+241;6.794;295;9.11.2020
Brandenburg;10.516;+220;1.742;217;9.11.2020
Bremen;7.133;+66;1.376;87;9.11.2020
Hamburg;17.139;+285;2.347;304;9.11.2020
Hessen;54.043;+882;10.327;758;9.11.2020
Mecklenburg-Vorpommern;3.745;+52;807;30;9.11.2020
Niedersachsen;46.322;+1.320;7.467;823;9.11.2020
Nordrhein-Westfalen;171.631;+3.426;29.801;2.355;9.11.2020
Rheinland-Pfalz;26.352;+631;4.857;320;9.11.2020
Saarland;8.426;+99;1.324;201;9.11.2020
Sachsen;26.680;+802;6.313;405;9.11.2020
Sachsen-Anhalt;6.734;+151;1.269;93;9.11.2020
Schleswig-Holstein;10.000;+177;1.521;201;9.11.2020
Thüringen;8.963;+132;1.662;220;9.11.2020
Gesamt;671.868;+13.363;115.566;11.352;9.11.2020
