Bundesland;Anzahl;Differenz;Faelle;Todesfaelle;Stand
Baden-Württemberg;54.345;+477;3.183;1.901;12.10.2020
Bayern;73.186;+343;3.358;2.685;12.10.2020
Berlin;18.075;+247;2.278;234;12.10.2020
Brandenburg;4.771;+31;306;169;12.10.2020
Bremen;3.080;+22;463;61;12.10.2020
Hamburg;8.963;+51;534;277;12.10.2020
Hessen;22.039;+128;2.051;562;12.10.2020
Mecklenburg-Vorpommern;1.373;+0*;84;20;12.10.2020
Niedersachsen;22.662;+0*;1.292;697;12.10.2020
Nordrhein-Westfalen;79.981;+802;6.602;1.913;12.10.2020
Rheinland-Pfalz;12.106;+202;913;256;12.10.2020
Saarland;3.703;+30;259;177;12.10.2020
Sachsen;8.413;+73;799;248;12.10.2020
Sachsen-Anhalt;2.932;+29;176;68;12.10.2020
Schleswig-Holstein;5.260;+25;312;162;12.10.2020
Thüringen;4.442;+7;222;191;12.10.2020
Gesamt;325.331;+2.467;22.832;9.621;12.10.2020
