Bundesland;Anzahl;Differenz;Faelle;Todesfaelle;Stand
Baden-Württemberg;120.870;+2.274;14.614;2.333;18.11.2020
Bayern;164.288;+3.559;22.444;3.262;18.11.2020
Berlin;50.611;+1.572;7.855;394;18.11.2020
Brandenburg;13.517;+257;1.883;253;18.11.2020
Bremen;8.447;+170;1.074;102;18.11.2020
Hamburg;20.830;+425;1.889;315;18.11.2020
Hessen;68.070;+1.567;9.970;935;18.11.2020
Mecklenburg-Vorpommern;4.620;+156;698;44;18.11.2020
Niedersachsen;56.924;+742;7.045;935;18.11.2020
Nordrhein-Westfalen;211.380;+4.156;29.598;2.766;18.11.2020
Rheinland-Pfalz;34.144;+685;5.724;381;18.11.2020
Saarland;10.524;+224;1.339;228;18.11.2020
Sachsen;36.891;+808;6.539;567;18.11.2020
Sachsen-Anhalt;8.669;+286;1.367;108;18.11.2020
Schleswig-Holstein;11.917;+294;1.435;227;18.11.2020
Thüringen;11.605;+386;2.044;269;18.11.2020
Gesamt;833.307;+17.561;115.518;13.119;18.11.2020
