Bundesland;Anzahl;Differenz;Faelle;Todesfaelle;Stand
Baden-Württemberg;35.744;+50;240;1.838;2.7.2020
Bayern;48.547;+67;384;2.597;2.7.2020
Berlin;8.302;+59;237;214;2.7.2020
Brandenburg;3.443;+3;24;165;2.7.2020
Bremen;1.670;+3;15;53;2.7.2020
Hamburg;5.211;+7;30;260;2.7.2020
Hessen;10.869;+58;184;507;2.7.2020
Mecklenburg-Vorpommern;803;0;7;20;2.7.2020
Niedersachsen;13.605;+28;188;632;2.7.2020
Nordrhein-Westfalen;43.436;+194;1.282;1.684;2.7.2020
Rheinland-Pfalz;7.036;+14;88;235;2.7.2020
Saarland;2.807;+1;6;173;2.7.2020
Sachsen;5.457;+6;16;224;2.7.2020
Sachsen-Anhalt;1.876;+3;14;59;2.7.2020
Schleswig-Holstein;3.163;+4;23;152;2.7.2020
Thüringen;3.259;+6;18;181;2.7.2020
Gesamt;195.228;+503;2.756;8.994;2.7.2020
