Bundesland;Anzahl;Differenz;Faelle;Todesfaelle;Stand
Baden-Württemberg;244.930;1.016;14.301;4.947;4.1.2021
Bayern;334.567;1.948;20.858;6.925;4.1.2021
Berlin;98.754;657;4.618;1.305;4.1.2021
Brandenburg;42.887;174;4.295;1.008;4.1.2021
Bremen;13.747;34;552;204;4.1.2021
Hamburg;37.535;0;2.027;661;4.1.2021
Hessen;140.371;406;8.397;2.991;4.1.2021
Mecklenburg-Vorpommern;12.562;108;1.472;179;4.1.2021
Niedersachsen;110.777;506;7.282;2.041;4.1.2021
Nordrhein-Westfalen;402.519;1.925;21.620;6.820;4.1.2021
Rheinland-Pfalz;74.435;520;4.825;1.476;4.1.2021
Saarland;20.199;58;855;445;4.1.2021
Sachsen;139.700;1.368;13.153;3.378;4.1.2021
Sachsen-Anhalt;32.083;586;4.003;694;4.1.2021
Schleswig-Holstein;25.751;211;2.272;446;4.1.2021
Thüringen;44.696;330;5.364;1.054;4.1.2021
Gesamt;1.775.513;9.847;115.894;34.574;4.1.2021
