Bundesland;Anzahl;Differenz;Faelle;Todesfaelle;Stand
Baden-Württemberg;188.241;2.197;20.789;3.425;14.12.2020
Bayern;259.793;2.890;26.728;4.895;14.12.2020
Berlin;78.796;548;7.083;821;14.12.2020
Brandenburg;26.952;518;3.825;484;14.12.2020
Bremen;11.714;53;911;158;14.12.2020
Hamburg;29.408;273;2.335;478;14.12.2020
Hessen;108.316;955;11.360;1.755;14.12.2020
Mecklenburg-Vorpommern;8.232;163;1.448;98;14.12.2020
Niedersachsen;85.729;958;7.501;1.427;14.12.2020
Nordrhein-Westfalen;317.966;3.029;30.100;4.489;14.12.2020
Rheinland-Pfalz;56.345;809;6.468;855;14.12.2020
Saarland;15.996;408;1.836;307;14.12.2020
Sachsen;86.807;2.562;15.437;1.702;14.12.2020
Sachsen-Anhalt;18.524;372;3.311;274;14.12.2020
Schleswig-Holstein;18.100;140;2.314;293;14.12.2020
Thüringen;26.159;487;5.005;514;14.12.2020
Gesamt;1.337.078;16.362;146.451;21.975;14.12.2020
