Bundesland;Anzahl;Differenz;Faelle;Todesfaelle;Stand
Baden-Württemberg;38.968;+228;852;1.860;19.8.2020
Bayern;53.707;+409;1.406;2.631;19.8.2020
Berlin;10.394;+75;476;224;19.8.2020
Brandenburg;3.728;+20;66;169;19.8.2020
Bremen;1.865;+14;46;56;19.8.2020
Hamburg;5.927;+26;137;264;19.8.2020
Hessen;13.842;+167;897;528;19.8.2020
Mecklenburg-Vorpommern;978;+3;27;20;19.8.2020
Niedersachsen;15.562;+80;406;656;19.8.2020
Nordrhein-Westfalen;55.375;+326;2.640;1.783;19.8.2020
Rheinland-Pfalz;8.334;+110;391;242;19.8.2020
Saarland;3.017;+9;62;174;19.8.2020
Sachsen;5.749;+13;65;226;19.8.2020
Sachsen-Anhalt;2.134;+8;46;64;19.8.2020
Schleswig-Holstein;3.825;+18;142;160;19.8.2020
Thüringen;3.509;+4;52;186;19.8.2020
Gesamt;226.914;+1.510;7.711;9.243;19.8.2020
