Bundesland;Anzahl;Differenz;Faelle;Todesfaelle;Stand
Baden-Württemberg;40.964;+279;1.492;1.863;27.8.2020
Bayern;56.191;+424;1913;2.635;27.8.2020
Berlin;10.934;+82;417;226;27.8.2020
Brandenburg;3.839;+21;76;169;27.8.2020
Bremen;1.944;+20;67;56;27.8.2020
Hamburg;6.137;+27;137;266;27.8.2020
Hessen;15.105;+80;1.018;529;27.8.2020
Mecklenburg-Vorpommern;999;+1;18;20;27.8.2020
Niedersachsen;16.419;+145;498;661;27.8.2020
Nordrhein-Westfalen;57.826;+266;1.891;1.807;27.8.2020
Rheinland-Pfalz;8.842;+83;364;243;27.8.2020
Saarland;3.095;+10;56;174;27.8.2020
Sachsen;5.866;+25;79;225;27.8.2020
Sachsen-Anhalt;2.209;+10;54;65;27.8.2020
Schleswig-Holstein;3.981;+20;127;160;27.8.2020
Thüringen;3.585;+14;59;186;27.8.2020
Gesamt;237.936;+1.507;8.266;9.285;27.8.2020
