Bundesland;Anzahl;Differenz;Faelle;Todesfaelle;Stand
Baden-Württemberg;168.265;1.624;16.889;3.098;8.12.2020
Bayern;234.614;2.718;23.278;4.411;8.12.2020
Berlin;72.082;640;6.217;699;8.12.2020
Brandenburg;22.741;308;2.731;422;8.12.2020
Bremen;10.859;41;778;139;8.12.2020
Hamburg;27.081;231;1.938;425;8.12.2020
Hessen;97.899;1.262;9.588;1.529;8.12.2020
Mecklenburg-Vorpommern;6.835;53;833;78;8.12.2020
Niedersachsen;78.296;555;6.067;1.277;8.12.2020
Nordrhein-Westfalen;290.668;3.489;26.270;4.064;8.12.2020
Rheinland-Pfalz;49.762;266;5.088;681;8.12.2020
Saarland;14.173;286;1.335;276;8.12.2020
Sachsen;71.636;1.468;13.005;1.307;8.12.2020
Sachsen-Anhalt;15.396;471;2.681;215;8.12.2020
Schleswig-Holstein;15.964;183;1.577;269;8.12.2020
Thüringen;21.438;459;3.902;452;8.12.2020
Gesamt;1.197.709;14.054;122.177;19.342;8.12.2020
