Bundesland;Anzahl;Differenz;Faelle;Todesfaelle;Stand
Baden-Württemberg;37.455;+183;406;1.847;4.8.2020
Bayern;51.279;+123;634;2.623;4.8.2020
Berlin;9.367;+39;320;223;4.8.2020
Brandenburg;3.579;+6;28;168;4.8.2020
Bremen;1.787;+5;35;56;4.8.2020
Hamburg;5.444;+8;103;261;4.8.2020
Hessen;12.199;+57;434;521;4.8.2020
Mecklenburg-Vorpommern;880;+3;31;20;4.8.2020
Niedersachsen;14.634;+67;315;653;4.8.2020
Nordrhein-Westfalen;49.727;+292;1.936;1.744;4.8.2020
Rheinland-Pfalz;7.583;+40;131;239;4.8.2020
Saarland;2.886;+5;31;174;4.8.2020
Sachsen;5.548;+7;22;225;4.8.2020
Sachsen-Anhalt;2.034;+3;39;64;4.8.2020
Schleswig-Holstein;3.494;+27;143;156;4.8.2020
Thüringen;3.385;+14;33;182;4.8.2020
Gesamt;211.281;+879;4.641;9.156;4.8.2020
