Bundesland;Anzahl;Differenz;Faelle;Todesfaelle;Stand
Baden-Württemberg;116.996;+1.326;14.850;2.265;16.11.2020
Bayern;158.849;+2.428;23.886;3.144;16.11.2020
Berlin;47.697;+432;7.720;363;16.11.2020
Brandenburg;12.873;+237;1.889;241;16.11.2020
Bremen;8.220;+67;1.067;97;16.11.2020
Hamburg;20.220;+243;2.250;313;16.11.2020
Hessen;65.479;+1.086;10.943;873;16.11.2020
Mecklenburg-Vorpommern;4.435;+38;675;38;16.11.2020
Niedersachsen;55.433;+108;7.823;904;16.11.2020
Nordrhein-Westfalen;202.817;+2.754;29.537;2.637;16.11.2020
Rheinland-Pfalz;32.563;+550;5.648;363;16.11.2020
Saarland;10.110;0*;1.401;214;16.11.2020
Sachsen;34.970;+1.046;6.775;514;16.11.2020
Sachsen-Anhalt;8.161;+121;1.273;105;16.11.2020
Schleswig-Holstein;11.522;+161;1.508;222;16.11.2020
Thüringen;10.982;+227;1.925;254;16.11.2020
Gesamt;801.327;+10.824;119.170;12.547;16.11.2020
