Bundesland;Anzahl;Differenz;Faelle;Todesfaelle;Stand
Baden-Württemberg;34.345;+171;310;1.692;23.5.2020
Bayern;46.132;+108;353;2.367;23.5.2020
Berlin;6.614;+29;176;190;23.5.2020
Brandenburg;3.213;+2;128;154;23.5.2020
Bremen;1.296;+5;190;41;23.5.2020
Hamburg;5.063;+4;275;240;23.5.2020
Hessen;9.670;+14;154;458;23.5.2020
Mecklenburg-Vorpommern;763;0;47;20;23.5.2020
Niedersachsen;11.521;+101;144;571;23.5.2020
Nordrhein-Westfalen;37.139;+129;207;1.555;23.5.2020
Rheinland-Pfalz;6.582;+16;161;226;23.5.2020
Saarland;2.709;+2;273;157;23.5.2020
Sachsen;5.219;+22;128;204;23.5.2020
Sachsen-Anhalt;1.692;0;77;54;23.5.2020
Schleswig-Holstein;3.062;+23;106;136;23.5.2020
Thüringen;2.830;+12;132;151;23.5.2020
Gesamt;177.850;+638;214;8.216;23.5.2020
