Bundesland;Anzahl;Differenz;Faelle;Todesfaelle;Stand
Baden-Württemberg;35.620;+90;206;1.830;30.6.2020
Bayern;48.400;+56;336;2.594;30.6.2020
Berlin;8.220;+44;286;214;30.6.2020
Brandenburg;3.429;+10;35;165;30.6.2020
Bremen;1.662;+1;9;53;30.6.2020
Hamburg;5.201;+7;40;259;30.6.2020
Hessen;10.795;+33;175;508;30.6.2020
Mecklenburg-Vorpommern;802;+1;9;20;30.6.2020
Niedersachsen;13.535;+33;223;628;30.6.2020
Nordrhein-Westfalen;43.066;+197;1.412;1.680;30.6.2020
Rheinland-Pfalz;6.996;+9;72;235;30.6.2020
Saarland;2.806;0;6;173;30.6.2020
Sachsen;5.448;+4;19;223;30.6.2020
Sachsen-Anhalt;1.871;+2;15;58;30.6.2020
Schleswig-Holstein;3.154;+7;17;152;30.6.2020
Thüringen;3.254;+4;18;181;30.6.2020
Gesamt;194.259;+498;2.878;8.973;30.6.2020
