Bundesland;Anzahl;Differenz;Faelle;Todesfaelle;Stand
Baden-Württemberg;37.272;+48;369;1.847;1.8.2020
Bayern;51.068;+153;735;2.622;1.8.2020
Berlin;9.274;+82;290;223;1.8.2020
Brandenburg;3.565;+5;27;168;1.8.2020
Bremen;1.781;+7;39;56;1.8.2020
Hamburg;5.405;+19;90;261;1.8.2020
Hessen;12.029;+64;360;520;1.8.2020
Mecklenburg-Vorpommern;868;+4;24;20;1.8.2020
Niedersachsen;14.499;+69;258;652;1.8.2020
Nordrhein-Westfalen;49.102;+413;1.676;1.739;1.8.2020
Rheinland-Pfalz;7.533;+35;115;239;1.8.2020
Saarland;2.874;+12;23;174;1.8.2020
Sachsen;5.541;+5;25;225;1.8.2020
Sachsen-Anhalt;2.022;+7;37;64;1.8.2020
Schleswig-Holstein;3.451;+24;137;156;1.8.2020
Thüringen;3.369;+8;28;182;1.8.2020
Gesamt;209.653;+955;4.233;9.148;1.8.2020
