Bundesland;Anzahl;Differenz;Faelle;Todesfaelle;Stand
Baden-Württemberg;34.830;+17;148;1.761;4.6.2020
Bayern;47.209;+71;386;2.479;4.6.2020
Berlin;6.901;+27;168;200;4.6.2020
Brandenburg;3.280;+7;24;156;4.6.2020
Bremen;1.462;+15;113;44;4.6.2020
Hamburg;5.096;-2;14;253;4.6.2020
Hessen;10.129;+49;195;482;4.6.2020
Mecklenburg-Vorpommern;763;+2;4;20;4.6.2020
Niedersachsen;12.182;+68;330;601;4.6.2020
Nordrhein-Westfalen;38.297;+112;554;1.611;4.6.2020
Rheinland-Pfalz;6.719;+7;52;230;4.6.2020
Saarland;2.737;+2;21;164;4.6.2020
Sachsen;5.312;+7;31;212;4.6.2020
Sachsen-Anhalt;1.711;+4;8;55;4.6.2020
Schleswig-Holstein;3.103;-3;33;146;4.6.2020
Thüringen;3.033;+11;81;167;4.6.2020
Gesamt;182.764;+394;2.162;8.581;4.6.2020
