Bundesland;Anzahl;Differenz;Faelle;Todesfaelle;Stand
Baden-Württemberg;277.126;1.684;11.637;6.324;20.1.2021
Bayern;380.295;2.377;16.823;9.106;20.1.2021
Berlin;113.875;820;4.713;1.918;20.1.2021
Brandenburg;59.485;839;5.266;1.738;20.1.2021
Bremen;15.027;67;535;239;20.1.2021
Hamburg;43.328;251;1.586;935;20.1.2021
Hessen;160.738;1.329;7.605;4.190;20.1.2021
Mecklenburg-Vorpommern;17.170;268;1.803;324;20.1.2021
Niedersachsen;130.467;901;7.221;2.768;20.1.2021
Nordrhein-Westfalen;456.855;3.279;20.286;9.473;20.1.2021
Rheinland-Pfalz;86.124;565;4.115;2.145;20.1.2021
Saarland;23.420;216;1.092;632;20.1.2021
Sachsen;168.943;1.258;7.862;5.307;20.1.2021
Sachsen-Anhalt;44.494;882;4.494;1.247;20.1.2021
Schleswig-Holstein;31.842;451;2.594;691;20.1.2021
Thüringen;58.813;787;5.072;1.733;20.1.2021
Gesamt;2.068.002;15.974;102.704;48.770;20.1.2021
