Bundesland;Anzahl;Differenz;Faelle;Todesfaelle;Stand
Baden-Württemberg;36.819;+88;406;1.841;25.7.2020
Bayern;50.260;+148;494;2.619;25.7.2020
Berlin;8.957;+63;190;223;25.7.2020
Brandenburg;3.524;+1;46;168;25.7.2020
Bremen;1.742;+9;33;55;25.7.2020
Hamburg;5.291;+16;51;261;25.7.2020
Hessen;11.649;+58;270;518;25.7.2020
Mecklenburg-Vorpommern;843;+17;36;20;25.7.2020
Niedersachsen;14.222;+37;255;648;25.7.2020
Nordrhein-Westfalen;47.257;+301;1.306;1.728;25.7.2020
Rheinland-Pfalz;7.409;+12;106;238;25.7.2020
Saarland;2.849;+8;20;174;25.7.2020
Sachsen;5.512;+6;25;225;25.7.2020
Sachsen-Anhalt;1.979;+4;32;63;25.7.2020
Schleswig-Holstein;3.311;+12;59;155;25.7.2020
Thüringen;3.340;+1;19;182;25.7.2020
Gesamt;204.964;+781;3.348;9.118;25.7.2020
