Bundesland;Anzahl;Differenz;Faelle;Todesfaelle;Stand
Baden-Württemberg;93.264;+2.530;13.591;2.092;6.11.2020
Bayern;123.225;+3.720;19.851;2885;6.11.2020
Berlin;37.357;+1.386;6.307;287;6.11.2020
Brandenburg;9.560;+498;1.489;208;6.11.2020
Bremen;6.599;+234;1.462;81;6.11.2020
Hamburg;15.778;+646;2.007;298;6.11.2020
Hessen;49.327;+1.850;9.685;729;6.11.2020
Mecklenburg-Vorpommern;3.415;+144;779;24;6.11.2020
Niedersachsen;42.707;+1.498;7.012;802;6.11.2020
Nordrhein-Westfalen;159.027;+5.261;29.586;2.297;6.11.2020
Rheinland-Pfalz;24.320;+929;4.715;310;6.11.2020
Saarland;7.765;+201;1.355;198;6.11.2020
Sachsen;22.957;+1.838;4.885;386;6.11.2020
Sachsen-Anhalt;6.170;+273;1.203;88;6.11.2020
Schleswig-Holstein;9.316;+220;1.535;194;6.11.2020
Thüringen;8.302;+278;1.568;217;6.11.2020
Gesamt;619.089;+21.506;107.030;11.096;6.11.2020
