Bundesland;Anzahl;Differenz;Faelle;Todesfaelle;Stand
Baden-Württemberg;279.479;2.353;10.979;6.419;21.1.2021
Bayern;383.107;2.812;15.715;9.282;21.1.2021
Berlin;114.606;731;4.245;1.957;21.1.2021
Brandenburg;60.825;1.340;5.126;1.805;21.1.2021
Bremen;15.151;124;522;240;21.1.2021
Hamburg;43.613;285;1.527;950;21.1.2021
Hessen;162.321;1.583;7.499;4.257;21.1.2021
Mecklenburg-Vorpommern;17.553;383;1.824;340;21.1.2021
Niedersachsen;132.095;1.628;7.216;2.829;21.1.2021
Nordrhein-Westfalen;460.709;3.854;19.851;9.635;21.1.2021
Rheinland-Pfalz;87.040;916;4.144;2.187;21.1.2021
Saarland;23.628;208;1.074;645;21.1.2021
Sachsen;170.784;1.841;7.572;5.433;21.1.2021
Sachsen-Anhalt;45.448;954;4.286;1.289;21.1.2021
Schleswig-Holstein;32.297;455;2.565;707;21.1.2021
Thüringen;59.744;931;4.801;1.808;21.1.2021
Gesamt;2.088.400;20.398;98.946;49.783;21.1.2021
