Bundesland;Anzahl;Differenz;Faelle;Todesfaelle;Stand
Baden-Württemberg;36.111;+70;208;1.837;14.7.2020
Bayern;49.350;+77;454;2.613;14.7.2020
Berlin;8.656;+18;168;219;14.7.2020
Brandenburg;3.462;0;15;167;14.7.2020
Bremen;1.691;+1;12;55;14.7.2020
Hamburg;5.231;0;11;261;14.7.2020
Hessen;11.206;+37;219;514;14.7.2020
Mecklenburg-Vorpommern;804;0;0;20;14.7.2020
Niedersachsen;13.823;+17;73;642;14.7.2020
Nordrhein-Westfalen;45.115;+141;918;1.707;14.7.2020
Rheinland-Pfalz;7.196;+22;99;236;14.7.2020
Saarland;2.819;+7;13;174;14.7.2020
Sachsen;5.476;+3;13;225;14.7.2020
Sachsen-Anhalt;1.919;+2;22;62;14.7.2020
Schleswig-Holstein;3.221;+14;31;154;14.7.2020
Thüringen;3.295;+3;18;182;14.7.2020
Gesamt;199.375;+412;2.274;9.068;14.7.2020
