Bundesland;Anzahl;Differenz;Faelle;Todesfaelle;Stand
Baden-Württemberg;34.718;+0*;236;1.748;31.5.2020
Bayern;46.917;+63;621;2.450;31.5.2020
Berlin;6.800;+33;155;198;31.5.2020
Brandenburg;3.271;+5;33;155;31.5.2020
Bremen;1.398;+0*;100;42;31.5.2020
Hamburg;5.087;+5;9;252;31.5.2020
Hessen;10.033;+30;269;477;31.5.2020
Mecklenburg-Vorpommern;761;+1;3;20;31.5.2020
Niedersachsen;11.992;+34;373;593;31.5.2020
Nordrhein-Westfalen;38.000;+90;728;1.597;31.5.2020
Rheinland-Pfalz;6.694;-1;96;230;31.5.2020
Saarland;2.724;+1;21;163;31.5.2020
Sachsen;5.304;+7;68;213;31.5.2020
Sachsen-Anhalt;1.705;+4;11;55;31.5.2020
Schleswig-Holstein;3.094;+4;27;145;31.5.2020
Thüringen;2.984;+10;122;162;31.5.2020
Gesamt;181.482;+286;2.872;8.500;31.5.2020
