Bundesland;Anzahl;Differenz;Faelle;Todesfaelle;Stand
Baden-Württemberg;36.565;+9;294;1.838;23.7.2020
Bayern;50.049;+95;476;2.618;23.7.2020
Berlin;8.860;+23;131;222;23.7.2020
Brandenburg;3.510;+13;39;167;23.7.2020
Bremen;1.727;+2;30;55;23.7.2020
Hamburg;5.251;+7;21;261;23.7.2020
Hessen;11.534;+76;234;516;23.7.2020
Mecklenburg-Vorpommern;815;+4;10;20;23.7.2020
Niedersachsen;14.133;+32;225;647;23.7.2020
Nordrhein-Westfalen;46.615;+248;1.125;1.721;23.7.2020
Rheinland-Pfalz;7.374;+28;114;238;23.7.2020
Saarland;2.840;+5;16;174;23.7.2020
Sachsen;5.503;0;20;225;23.7.2020
Sachsen-Anhalt;1.973;+12;38;62;23.7.2020
Schleswig-Holstein;3.292;+14;56;155;23.7.2020
Thüringen;3.327;+1;14;182;23.7.2020
Gesamt;203.368;+569;2.843;9.101;23.7.2020
