Bundesland;Anzahl;Differenz;Faelle;Todesfaelle;Stand
Baden-Württemberg;250.675;1.278;11.232;5.207;7.1.2021
Bayern;342.280;3.494;15.971;7.424;7.1.2021
Berlin;102.070;1.310;4.492;1.445;7.1.2021
Brandenburg;45.720;1.164;3.428;1.143;7.1.2021
Bremen;14.069;154;504;209;7.1.2021
Hamburg;39.154;579;2.084;725;7.1.2021
Hessen;145.009;2.084;7.939;3.278;7.1.2021
Mecklenburg-Vorpommern;13.701;476;1.656;215;7.1.2021
Niedersachsen;114.282;2.116;6.050;2.206;7.1.2021
Nordrhein-Westfalen;415.041;6.043;20.928;7.507;7.1.2021
Rheinland-Pfalz;76.991;1.106;4.403;1.632;7.1.2021
Saarland;20.805;308;887;483;7.1.2021
Sachsen;146.658;3.536;10.987;3.626;7.1.2021
Sachsen-Anhalt;33.929;910;3.503;777;7.1.2021
Schleswig-Holstein;27.078;542;2.297;514;7.1.2021
Thüringen;47.576;1.291;4.958;1.216;7.1.2021
Gesamt;1.835.038;26.391;101.319;37.607;7.1.2021
